District,Population
Ariyalur,860579
Chennai,5297274
Coimbatore,3942171
Cuddalore,2970742
Dharmapuri,1717801
Dindigul,2462144
Erode,2566988
Kancheepuram,4558007
Kanyakumari,2132226
Karur,1213522
Krishnagiri,2142982
Madurai,3463607
Nagapattinam,1842753
Namakkal,1968325
Nilgiris,838349
Perambalur,644354
Pudukkottai,1844913
Ramanathapuram,1542927
Salem,3969544
Sivaganga,1526575
Thanjavur,2742715
Theni,1420325
Thiruvallur,4250039
Thiruvarur,1441276
Thoothukkudi,1995201
Tiruchirappalli,3103411
Tirunelveli,3508046
Tiruppur,2826119
Tiruvannamalai,2809958
Vellore,4487417
Viluppuram,3943115
Virudhunagar,2214208